[Common Header]
Product Group,Excavator
Machine Model,PC2000
Machine Type & Minor Variation Code,-8,STD
Machine Serial No.,J10092
Engine Model & Serial No.1 2 3,SAA12V140E3,00513441,,VA000882408
Time Stamp,03/01/2025 13:16:58,1735881418|28800|0
SMR,11207.1
Comment,
[Version Information]
Format Ver.,1
Program Ver.,23000100310,782611R754
[Display Information]
Data Type & Title,40,Trend Analysis
Control No. & Graph Type,00,10
Sampling Time,100msec
SMR & Trigger Code & Trigger Message,,,
Axis Type,4,100,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4
Axis Rate,10,1,1,1,100,1,1,1,1,1,100,100,100,1,1,1,10,1,1,1,0.1,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1
Status Of Item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

View Item1,
View Item2,

Axis Item,SMR,Calendar,Eng.Speed(Max),Eng.Speed(Ave),BlowbyPress Max,LBF Exh.TempMax,LBR Exh.TempMax,RBF Exh.TempMax,RBR Exh.TempMax,Boost Press Max,EOil Pre.MAX,E.Oil P.L_Min,E.Oil P.H_Min,Eng.Oil Tmp.MAX,Cool Temp.MAX,Cool Temp.Min,Fuel Rate,Ambient TempMax,Ambient TempAve,Ambient TempMin,Atomos. Pres.Ave,Pump 1F P.Max,Pump 1R P.Max,Pump 2F P.Max,Pump 2R P.Max,FanPumpF P.Max,FanPumpR P.Max,HydOilTempMax,HydOilTempAve,HydOilTempMin,PTO Temp Max,PTO Temp Min,Truck Counter1,Truck Counter2,Load1F,Load1R,Load2F,Load2R,LoadFF,LoadFR,Load Count,Swing Count,Auto GRS P.Max,Auto GRS P. ON,Pump1 Torque Max,Pump1 Torque Ave,Pump2 Torque Max,Pump2 Torque Ave,FanPumpTorque Max,FanPumpTorque Ave,Engine Power Max,Engine Power Ave,Eco Mode on
Axis Scale,h,,rpm,rpm,kPa,degC,degC,degC,degC,kPa,MPa,MPa,MPa,degC,degC,degC,Liter/h,degC,degC,degC,hPa,MPa,MPa,MPa,MPa,MPa,MPa,degC,degC,degC,degC,degC,Times,Times,10^8Times,10^8Times,10^8Times,10^8Times,10^6Times,10^6Times,Times,Times,MPa,Times,Nm,Nm,Nm,Nm,Nm,Nm,kW,kW,sec

